"You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the Bambora Checkout. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop.","Du har valgt at betale for ordren online. Lige s&#229; snart du har gennemf&#248;rt din ordre, vil du blive overf&#248;rt til Bambora Checkout. Her skal du gennemf&#248;re din betaling. N&#229;r betalingen er gennemf&#248;rt, vil du automatisk blive sendt tilbage til vores forretning."
"pcs.","stk."
"The capture action could not, be processed online. Please enable remote payment processing from the module configuration","H&#230;vningen kunne ikke udf&oslash;res online. Du skal aktivere remote payment processing i modulets configuration"
"The refund action could not, be processed online. Please enable remote payment processing from the module configuration","Refunderingen kunne ikke udf&oslash;res online. Du skal aktivere remote payment processing i modulets configuration"
"The void action could not, be processed online. Please enable remote payment processing from the module configuration","Betalingen kunne ikke annulleres online. Du skal aktivere remote payment processing i modulets configuration"
"Please enable remote payment processing from the module configuration","Du skal aktivere remote payment processing i modulets configuration"
"There is not registered any payment for this order yet!","Der er endnu ikke registreret nogen betaling for denne ordre!"
"The order could not be created - The payment window could not be retrived", "Orderen kunne ikke oprettes da betalings vinduet ikke kunne &aring;bnes"
"Surcharge fee","Betalings gebyr"
"Transaction ID","Transaktions ID"
"Amount","Bel&oslash;b"
"Transaction date","Betalingsdato"
"Card type","Korttype"
"Card number","Kortnummer"
"Captured","H&#230;vet"
"Refunded","Refunderet"
"Acquirer","Indl&oslash;ser"
"Status","Status"
"Transaction Operations","Transaktions operationer"
"Date","Dato"
"Action","Handling"
"ECI","Sikkerhedsniveau"
"Operation ID","Operations ID"
"Parent Operation ID","Oprindelig Operations ID"
"Bambora Payment Information","Bambora Betalings Informationer"
"Invoice not available","Fakturering er ikke mulig"
"Bambora transaction not found","Bambora transaktionen er ikke fundet"
"Notified customer about invoice #%s","Kunden er underrettet om faktura #%s"
"Order: %s returned with an error: %s","Order: %s returnerede med en fejl: %s"
"%s order(s) cannot be Invoiced and Captured.","%s ordre kunne ikke blive faktureret og h&#230;vet"
"You cannot Invoice and Capture the order(s).","Du kan ikke fakturer og h&#230;ve ordrene"
"You Invoiced and Captured %s order(s).","Du har fakturerede og h&#230;vede %s ordre"
"Creditmemo not available","Kreditering er ikke mulig"
"Invoice: %s returned with an error: %s","Faktura: %s returnerede med en fejl: %s"
"%s invoice(s) cannot be Refunded.","%s faktura(ere) kunne ikke krediteres"
"You cannot Refund the invoice(s).","Du kan ikke kreditere f&oslash;lgende faktura(er)"
"You Refunded %s invoice(s).","Du har krediterede %s faktura(er)"
"Delete: %s returned with an error: %s","Sletning af %s returnerede men en fejl: %s"
"%s order(s) cannot be Deleted.","%s ordre kunne ikke slettes"
"You cannot Delete the order(s).","Du kan ikke slette f&oslash;lgende ordre"
"You Deleted %s order(s).","Du slettede %s ordre"
"Thank you for using Bambora Checkout","Tak fordi du valgte Bambora Checkout"
"Please wait...","Vent venligst..."
"Payment authorization was a success.","Betalings anmodingen var en succes"
"added to order","tilf&oslash;jet til ordren"
"Notified customer about order #%s","Kunden er underrettet om order #%s"
"No answer from Bambora","Ingen svar fra Bambora"
"Bambora - Mass Invoice and Capture","Bambora - Bulk Fakturering og H&#230;vning"
"Are you sure you want to invoice and capture selected items?","Vil du fakturer valgte ordre"
"Bambora - Mass Delete","Bambora - Bulk sletning"
"Are you sure you want to delete selected items? This can not be undone! If there have been authorized a payment on the order it will not get voided by this action.","Vil du slette valgte ordre? Dette kan ikke fortrydes! Hvis der er en betalt order vil denne ikke blive slettet i betalingssystemet"
"Bambora - Mass Creditmemo and Refund","Bambora - Bulk kreditnota og refundering"
"Are you sure you want to refund selected items?","Vil du krediterere og refundere valgte ordre"
"Order was auto canceled because no payment has been made.","Ordren er blevet auto canceled fordi ingen betalinger er registreret"
"The capture action failed.","H&#230;vningen fejlede"
"The refund action failed.","Refunderingen fejlede"
"The payment have been voided","Betalingen er annulleret"
"The void action failed.","Annullering af betalingen fejlede"
"The Get Transaction action failed.","Hentning af transaktionen fejlede"
"The List TransactionOperations action failed.","Hentning af transaktions operationer fejlede"
"Shipping","Forsendelse"
"Adjustment refund","Justerings bel&oslash;b"
"The Invoice could not be captured online","Fakturaen kunne ikke hæves online"
"The Order is placed using Bambora Checkout and is now awaiting payment.","Ordren er nu oprettet med Bambora Checkout og afventer betalingen"
"Could not use instant invoice.","Kunne ikke udf&oslash;re instant invoice"
"shipping","forsendelse"
"discount","rabat"
