"You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the Bambora Checkout. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop.","You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the Bambora Checkout. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop."
"pcs.","pcs."
"The capture action could not, be processed online. Please enable remote payment processing from the module configuration","The capture action could not, be processed online. Please enable remote payment processing from the module configuration"
"The refund action could not, be processed online. Please enable remote payment processing from the module configuration","The refund action could not, be processed online. Please enable remote payment processing from the module configuration"
"The void action could not, be processed online. Please enable remote payment processing from the module configuration","The void action could not, be processed online. Please enable remote payment processing from the module configuration"
"Please enable remote payment processing from the module configuration","Please enable remote payment processing from the module configuration"
"There is not registered any payment for this order yet!","There is not registered any payment for this order yet!"
"The order could not be created - The payment window could not be retrived", "The order could not be created - The payment window could not be retrived"
"Surcharge fee","Surcharge fee"
"Transaction ID","Transaction ID"
"Amount","Amount"
"Transaction date","Transaction date"
"Card type","Card type"
"Card number","Card number"
"Captured","Captured"
"Refunded","Refunded"
"Acquirer","Acquirer"
"Status","Status"
"Transaction Operations","Transaction Operations"
"Date","Date"
"Action","Action"
"ECI","ECI"
"Operation ID","Operation ID"
"Parent Operation ID","Parent Operation ID"
"Bambora Payment Information","Bambora Payment Information"
"Invoice not available","Invoice not available"
"Bambora transaction not found","Bambora transaction not found"
"Notified customer about invoice #%s","Notified customer about invoice #%s"
"Order: %s returned with an error: %s","Order: %s returned with an error: %s"
"%s order(s) cannot be Invoiced and Captured.","%s order(s) cannot be Invoiced and Captured."
"You cannot Invoice and Capture the order(s).","You cannot Invoice and Capture the order(s)."
"You Invoiced and Captured %s order(s).","You Invoiced and Captured %s order(s)."
"Creditmemo not available","Creditmemo not available"
"Invoice: %s returned with an error: %s","Invoice: %s returned with an error: %s"
"%s invoice(s) cannot be Refunded.","%s invoice(s) cannot be Refunded."
"You cannot Refund the invoice(s).","You cannot Refund the invoice(s)."
"You Refunded %s invoice(s).","You Refunded %s invoice(s)."
"Delete: %s returned with an error: %s","Delete: %s returned with an error: %s"
"%s order(s) cannot be Deleted.","%s order(s) cannot be Deleted."
"You cannot Delete the order(s).","You cannot Delete the order(s)."
"You Deleted %s order(s).","You Deleted %s order(s)."
"Thank you for using Bambora Checkout","Thank you for using Bambora Checkout"
"Please wait...","Please wait..."
"Payment authorization was a success.","Payment authorization was a success."
"added to order","added to order"
"Notified customer about order #%s","Notified customer about order #%s"
"No answer from Bambora","No answer from Bambora"
"Bambora - Mass Invoice and Capture","Bambora - Mass Invoice and Capture"
"Are you sure you want to invoice and capture selected items?","Are you sure you want to invoice and capture selected items?"
"Bambora - Mass Delete","Bambora - Mass Delete"
"Are you sure you want to delete selected items? This can not be undone! If there have been authorized a payment on the order it will not get voided by this action.","Are you sure you want to delete selected items? This can not be undone! If there have been authorized a payment on the order it will not get voided by this action."
"Bambora - Mass Creditmemo and Refund","Bambora - Mass Creditmemo and Refund"
"Are you sure you want to refund selected items?","Are you sure you want to refund selected items?"
"Order was auto canceled because no payment has been made.","Order was auto canceled because no payment has been made."
"The capture action failed.","The capture action failed."
"The refund action failed.","The refund action failed."
"The payment have been voided","The payment have been voided"
"The void action failed.","The void action failed."
"The Get Transaction action failed.","The Get Transaction action failed."
"The List TransactionOperations action failed.","The List TransactionOperations action failed."
"Shipping","Shipping"
"Adjustment refund","Adjustment refund"
"The Invoice could not be captured online","The Invoice could not be captured online"
"The Order is placed using Bambora Checkout and is now awaiting payment.","The Order is placed using Bambora Checkout and is now awaiting payment."
"Could not use instant invoice.","Could not use instant invoice."
"shipping","shipping"
"discount","discount"
